"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_unlimitedlocation_0722_allocation.nlogo"
"try07192225"
"07/22/2025 23:38:15:156 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","constant_a","reach_distance","constant_b","constant_c","[step]","total-exits","initial-total-pubs","initial-red-pubs","tick-exit","tick-exit-red","exit-rate","exit-rate-red","remaining-total-pubs","remaining-red-pubs"
"3","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"6","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"5","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"4","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"1","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"8","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"2","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"7","1.001","5","0.2","40","0","0","0","0","0","0","0","0","0","0"
"6","1.001","5","0.2","40","1","475","2955","2955","475","475","160.74450084602367","160.74450084602367","2480","2480"
"5","1.001","5","0.2","40","1","479","2955","2955","479","479","162.09813874788495","162.09813874788495","2476","2476"
"4","1.001","5","0.2","40","1","476","2955","2955","476","476","161.082910321489","161.082910321489","2479","2479"
"1","1.001","5","0.2","40","1","479","2955","2955","479","479","162.09813874788495","162.09813874788495","2476","2476"
"2","1.001","5","0.2","40","1","478","2955","2955","478","478","161.75972927241963","161.75972927241963","2477","2477"
"8","1.001","5","0.2","40","1","478","2955","2955","478","478","161.75972927241963","161.75972927241963","2477","2477"
"7","1.001","5","0.2","40","1","479","2955","2955","479","479","162.09813874788495","162.09813874788495","2476","2476"
"5","1.001","5","0.2","40","2","532","2955","2476","53","4","17.93570219966159","1.6155088852988693","2902","2472"
"6","1.001","5","0.2","40","2","537","2955","2480","62","11","20.98138747884941","4.435483870967742","2893","2469"
"2","1.001","5","0.2","40","2","524","2955","2477","46","5","15.566835871404399","2.0185708518368997","2909","2472"
"8","1.001","5","0.2","40","2","539","2955","2477","61","7","20.642978003384094","2.825999192571659","2894","2470"
"4","1.001","5","0.2","40","2","538","2955","2479","62","10","20.98138747884941","4.033884630899556","2893","2469"
"7","1.001","5","0.2","40","2","541","2955","2476","62","4","20.98138747884941","1.6155088852988693","2893","2472"
"1","1.001","5","0.2","40","2","526","2955","2476","47","9","15.905245346869712","3.634894991922456","2908","2467"
"7","1.001","5","0.2","40","3","550","2955","2472","9","1","3.045685279187817","0.4045307443365696","2946","2471"
"8","1.001","5","0.2","40","3","547","2955","2470","8","0","2.707275803722504","0","2947","2470"
"5","1.001","5","0.2","40","3","545","2955","2472","13","2","4.399323181049069","0.8090614886731392","2942","2470"
"2","1.001","5","0.2","40","3","535","2955","2472","11","2","3.7225042301184432","0.8090614886731392","2944","2470"
"1","1.001","5","0.2","40","3","530","2955","2467","4","0","1.353637901861252","0","2951","2467"
"4","1.001","5","0.2","40","3","544","2955","2469","6","1","2.0304568527918785","0.4050222762251924","2949","2468"
"6","1.001","5","0.2","40","3","545","2955","2469","8","1","2.707275803722504","0.4050222762251924","2947","2468"
"1","1.001","5","0.2","40","4","530","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","4","548","2955","2470","1","0","0.338409475465313","0","2954","2470"
"7","1.001","5","0.2","40","4","553","2955","2471","3","1","1.0152284263959392","0.40469445568595713","2952","2470"
"2","1.001","5","0.2","40","4","538","2955","2470","3","3","1.0152284263959392","1.2145748987854252","2952","2467"
"5","1.001","5","0.2","40","4","548","2955","2470","3","0","1.0152284263959392","0","2952","2470"
"4","1.001","5","0.2","40","4","547","2955","2468","3","1","1.0152284263959392","0.4051863857374392","2952","2467"
"6","1.001","5","0.2","40","4","546","2955","2468","1","0","0.338409475465313","0","2954","2468"
"1","1.001","5","0.2","40","5","530","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","5","549","2955","2470","1","1","0.338409475465313","0.4048582995951417","2954","2469"
"2","1.001","5","0.2","40","5","539","2955","2467","1","0","0.338409475465313","0","2954","2467"
"4","1.001","5","0.2","40","5","548","2955","2467","1","0","0.338409475465313","0","2954","2467"
"5","1.001","5","0.2","40","5","548","2955","2470","0","0","0","0","2955","2470"
"7","1.001","5","0.2","40","5","553","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","5","546","2955","2468","0","0","0","0","2955","2468"
"1","1.001","5","0.2","40","6","530","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","6","549","2955","2469","0","0","0","0","2955","2469"
"2","1.001","5","0.2","40","6","540","2955","2467","1","0","0.338409475465313","0","2954","2467"
"7","1.001","5","0.2","40","6","553","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","6","549","2955","2470","1","0","0.338409475465313","0","2954","2470"
"6","1.001","5","0.2","40","6","547","2955","2468","1","0","0.338409475465313","0","2954","2468"
"4","1.001","5","0.2","40","6","548","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","7","550","2955","2469","1","0","0.338409475465313","0","2954","2469"
"1","1.001","5","0.2","40","7","531","2955","2467","1","0","0.338409475465313","0","2954","2467"
"7","1.001","5","0.2","40","7","554","2955","2470","1","0","0.338409475465313","0","2954","2470"
"2","1.001","5","0.2","40","7","540","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","7","549","2955","2470","0","0","0","0","2955","2470"
"4","1.001","5","0.2","40","7","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","7","547","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","8","551","2955","2469","1","1","0.338409475465313","0.4050222762251924","2954","2468"
"1","1.001","5","0.2","40","8","531","2955","2467","0","0","0","0","2955","2467"
"2","1.001","5","0.2","40","8","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","8","554","2955","2470","0","0","0","0","2955","2470"
"4","1.001","5","0.2","40","8","548","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","8","549","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","8","547","2955","2468","0","0","0","0","2955","2468"
"3","1.001","5","0.2","40","1","478","2955","2955","478","478","161.75972927241963","161.75972927241963","2477","2477"
"1","1.001","5","0.2","40","9","531","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","9","551","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","9","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","9","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","9","549","2955","2470","0","0","0","0","2955","2470"
"4","1.001","5","0.2","40","9","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","9","547","2955","2468","0","0","0","0","2955","2468"
"7","1.001","5","0.2","40","10","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","10","540","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","10","551","2955","2468","0","0","0","0","2955","2468"
"1","1.001","5","0.2","40","10","531","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","10","549","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","10","547","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","10","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","11","531","2955","2467","0","0","0","0","2955","2467"
