pxcor,pycor,OAID,patch_borough,longterm_count,category
13,23,E00009207,Hackney,39,variant
-90,-5,E00012188,Hillingdon,1,variant
-87,0,E00012194,Hillingdon,1,variant
-33,4,E00009468,Hammersmith and Fulham,52,variant
-82,41,E00012332,Hillingdon,21,variant
-8,59,E00007550,Enfield,37,variant
-47,-41,E00015087,Kingston upon Thames,59,successful
18,57,E00021876,Waltham Forest,35,variant
10,53,E00007403,Enfield,13,variant
47,13,E00185732,Barking and Dagenham,9,variant
53,-9,E00001933,Bexley,39,variant
-32,-33,E00017021,Merton,58,variant
84,25,E00011910,Havering,1,variant
-29,-49,E00020716,Sutton,46,variant
-31,61,E00001428,Barnet,23,variant
35,1,E00176562,Greenwich,48,variant
1,-33,E00005733,Croydon,49,variant
44,9,E00176559,Greenwich,1,variant
-8,72,E00007029,Enfield,0,un
-43,-7,E00012853,Hounslow,0,un
41,30,E00175135,Redbridge,41,variant
-35,-22,E00017537,Merton,0,un
19,43,E00021842,Waltham Forest,40,variant
7,68,E00007683,Enfield,26,variant
-26,-32,E00017331,Merton,42,variant
-29,-25,E00017535,Merton,38,variant
-27,-17,E00023170,Wandsworth,49,variant
70,38,E00011895,Havering,464,successful
51,-29,E00003542,Bromley,6,variant
6,-14,E00019893,Southwark,42,variant
46,2,E00007803,Greenwich,35,variant
11,28,E00185724,Waltham Forest,0,un
15,36,E00022352,Waltham Forest,36,variant
-52,29,E00002769,Brent,45,variant
-6,-54,E00020585,Sutton,33,variant
61,16,E00176969,Havering,11,variant
-7,-15,E00016063,Lambeth,500,successful
-70,-21,E00179096,Hounslow,51,variant
68,46,E00011559,Havering,7,variant
-30,-43,E00020811,Sutton,59,successful
-30,7,E00014424,Kensington and Chelsea,40,variant
56,8,E00002296,Bexley,0,un
25,41,E00175177,Redbridge,413,successful
-1,-42,E00181008,Croydon,500,successful
40,-23,E00003348,Bromley,46,variant
-5,-5,E00016087,Lambeth,52,variant
40,40,E00018633,Redbridge,23,variant
-46,-50,E00014846,Kingston upon Thames,3,variant
-48,27,E00002788,Brent,41,variant
51,-45,E00003841,Bromley,21,variant
65,49,E00011495,Havering,22,variant
-43,-5,E00012853,Hounslow,33,variant
-76,6,E00012455,Hillingdon,56,variant
-18,60,E00000839,Barnet,53,variant
73,31,E00011777,Havering,18,variant
-20,-23,E00023269,Wandsworth,46,variant
0,34,E00010308,Haringey,38,variant
75,43,E00011485,Havering,32,variant
44,-41,E00003956,Bromley,50,variant
27,0,E00008307,Greenwich,53,variant
-55,-31,E00019567,Richmond upon Thames,3,variant
-31,16,E00002847,Brent,50,variant
-26,-22,E00017574,Merton,45,variant
2,8,E00190458,City of London,0,un
-44,1,E00013383,Hounslow,4,variant
-66,14,E00006304,Ealing,46,variant
39,-1,E00008127,Greenwich,52,variant
-3,8,E00000024,City of London,16,variant
11,-9,E00016898,Lewisham,21,variant
-65,20,E00006596,Ealing,33,variant
45,-41,E00003961,Bromley,42,variant
52,12,NaN,NaN,5,variant
52,33,E00000154,Barking and Dagenham,54,variant
1,-31,E00005720,Croydon,48,variant
-29,-28,E00017203,Merton,63,successful
57,-46,E00003291,Bromley,0,un
-6,73,E00007029,Enfield,0,un
-78,37,E00012359,Hillingdon,48,variant
-51,35,E00002629,Brent,50,variant
67,39,E00011664,Havering,8,variant
40,-51,E00003684,Bromley,0,un
-44,-39,E00014698,Kingston upon Thames,52,variant
14,64,E00007127,Enfield,2,variant
-39,60,E00001254,Barnet,0,un
32,-39,E00182549,Bromley,58,variant
-94,-12,E00012179,Hillingdon,0,un
-9,68,E00007029,Enfield,0,un
-48,-28,E00014785,Kingston upon Thames,30,variant
72,28,E00011814,Havering,23,variant
-18,-34,E00017092,Merton,36,variant
2,-55,E00005507,Croydon,51,variant
-33,-1,E00009467,Hammersmith and Fulham,397,successful
18,49,E00022208,Waltham Forest,32,variant
59,14,E00000434,Barking and Dagenham,0,un
-34,-44,E00021116,Sutton,49,variant
-86,47,E00012336,Hillingdon,7,variant
25,-43,E00003723,Bromley,15,variant
54,42,E00000156,Barking and Dagenham,0,un
36,-71,E00003655,Bromley,13,variant
27,-28,E00004033,Bromley,366,successful
-84,3,E00012394,Hillingdon,50,variant
63,38,E00011679,Havering,30,variant
29,22,E00017990,Newham,54,variant
17,25,E00185680,Waltham Forest,0,un
-65,-23,E00019624,Richmond upon Thames,7,variant
8,47,E00007745,Enfield,0,un
21,-55,E00005395,Croydon,60,successful
-16,-1,E00014596,Kensington and Chelsea,28,variant
10,-29,E00003932,Bromley,50,variant
6,50,E00007113,Enfield,42,variant
-1,46,E00007720,Enfield,27,variant
-25,33,E00001053,Barnet,44,variant
-20,18,E00023436,Westminster,44,variant
-15,-46,E00021008,Sutton,492,successful
-92,23,E00012504,Hillingdon,24,variant
-74,10,E00011959,Hillingdon,53,variant
15,64,E00007127,Enfield,0,un
-30,13,E00190370,Kensington and Chelsea,37,variant
-82,4,E00184502,Hillingdon,39,variant
56,30,E00000558,Barking and Dagenham,45,variant
-26,-39,E00017464,Merton,47,variant
-63,-6,E00013298,Hounslow,49,variant
17,6,E00167121,Tower Hamlets,43,variant
-92,11,E00012016,Hillingdon,47,variant
32,-34,E00003147,Bromley,60,successful
6,-10,E00020221,Southwark,40,variant
-68,34,E00010807,Harrow,49,variant
8,-42,E00004937,Croydon,36,variant
17,28,E00022306,Waltham Forest,0,un
6,69,E00007001,Enfield,7,variant
24,17,E00018321,Newham,49,variant
-81,-4,E00184410,Hillingdon,10,variant
-10,25,E00013908,Islington,48,variant
-29,-47,E00020708,Sutton,43,variant
-66,-27,E00019217,Richmond upon Thames,27,variant
75,18,E00011706,Havering,0,un
59,-13,E00001596,Bexley,18,variant
-29,-14,E00022654,Wandsworth,50,variant
-29,45,E00178780,Barnet,26,variant
-27,-50,E00020963,Sutton,38,variant
-16,29,E00004499,Camden,38,variant
16,61,E00178879,Enfield,0,un
-10,46,E00009876,Enfield,34,variant
-81,19,E00012237,Hillingdon,17,variant
29,15,E00018183,Newham,44,variant
-70,9,E00006462,Ealing,45,variant
-41,-29,E00014901,Kingston upon Thames,25,variant
75,36,E00011357,Havering,32,variant
68,49,E00011495,Havering,3,variant
-55,10,E00006106,Ealing,39,variant
-79,-1,E00012196,Hillingdon,13,variant
41,1,E00008144,Greenwich,41,variant
14,74,E00007192,Enfield,2,variant
39,-54,E00003645,Bromley,0,un
42,-57,E00003648,Bromley,11,variant
-84,21,E00012234,Hillingdon,43,variant
-42,-22,E00019181,Richmond upon Thames,10,variant
-66,26,E00011091,Harrow,34,variant
-67,41,E00010809,Harrow,13,variant
16,-35,E00003781,Bromley,22,variant
6,39,E00178949,Haringey,5,variant
-20,-40,E00021088,Sutton,49,variant
