year,sample_area,whole_london
2002,6.711409396,4.305705059
2003,38.28828829,60.54054054
2004,30.44496487,21.86421174
2005,12.07729469,8.235294118
2006,29.3398533,22.53855279
2007,7.556675063,20.63106796
2008,7.614213198,24.78314746
2009,40.92071611,50.82592122
2010,-21.33333333,22.75769746
2011,41.77545692,17.80821918
2012,-10.89918256,0
2013,35.04043127,59.972106
2014,-5.586592179,25.22255193
2015,16.66666667,-18.26484018
2016,-25.42372881,4.484304933
2017,5.509641873,30.03003003
2018,-8.310249307,9.287925697
2019,-21.97802198,-12.5
2020,-21.50537634,1.543209877
2021,-7.894736842,10.81916538
2022,15.66579634,-15.625
2023,2.652519894,21.53846154
