oaid,patch_borough,longterm_count,category
E00009207,Hackney,86,variant
E00012188,Hillingdon,155,successful
E00012194,Hillingdon,172,successful
E00009468,Hammersmith and Fulham,91,variant
E00012332,Hillingdon,391,successful
E00007550,Enfield,261,successful
E00015087,Kingston upon Thames,114,successful
E00021876,Waltham Forest,62,variant
E00007403,Enfield,79,variant
E00185732,Barking and Dagenham,18,variant
E00001933,Bexley,75,variant
E00017021,Merton,384,successful
E00011910,Havering,73,variant
E00020716,Sutton,82,variant
E00001428,Barnet,68,variant
E00176562,Greenwich,85,variant
E00005733,Croydon,233,successful
E00176559,Greenwich,21,variant
E00007029,Enfield,107,successful
E00012853,Hounslow,73,variant
E00175135,Redbridge,100,variant
E00017537,Merton,201,successful
E00021842,Waltham Forest,162,successful
E00007683,Enfield,51,variant
E00017331,Merton,73,variant
E00017535,Merton,75,variant
E00023170,Wandsworth,94,variant
E00011895,Havering,495,successful
E00003542,Bromley,174,successful
E00019893,Southwark,81,variant
E00007803,Greenwich,77,variant
E00185724,Waltham Forest,59,variant
E00022352,Waltham Forest,61,variant
E00002769,Brent,100,variant
E00020585,Sutton,191,successful
E00176969,Havering,32,variant
E00016063,Lambeth,500,successful
E00179096,Hounslow,168,successful
E00011559,Havering,215,successful
E00020811,Sutton,103,variant
E00014424,Kensington and Chelsea,79,variant
E00002296,Bexley,276,successful
E00175177,Redbridge,486,successful
E00181008,Croydon,500,successful
E00003348,Bromley,89,variant
E00016087,Lambeth,101,variant
E00018633,Redbridge,47,variant
E00014846,Kingston upon Thames,8,variant
E00002788,Brent,81,variant
E00003841,Bromley,252,successful
E00011495,Havering,389,successful
E00012455,Hillingdon,107,successful
E00000839,Barnet,103,variant
E00011777,Havering,43,variant
E00023269,Wandsworth,242,successful
E00010308,Haringey,97,variant
E00011485,Havering,74,variant
E00003956,Bromley,149,successful
E00008307,Greenwich,230,successful
E00019567,Richmond upon Thames,214,successful
E00002847,Brent,100,variant
E00017574,Merton,82,variant
E00190458,City of London,40,variant
E00013383,Hounslow,500,successful
E00006304,Ealing,95,variant
E00008127,Greenwich,98,variant
E00000024,City of London,178,successful
E00016898,Lewisham,39,variant
E00006596,Ealing,139,successful
E00003961,Bromley,161,successful
NaN,NaN,423,successful
E00000154,Barking and Dagenham,111,successful
E00005720,Croydon,96,variant
E00017203,Merton,116,successful
E00003291,Bromley,3,variant
E00012359,Hillingdon,76,variant
E00002629,Brent,100,variant
E00011664,Havering,36,variant
E00003684,Bromley,24,variant
E00014698,Kingston upon Thames,101,variant
E00007127,Enfield,162,successful
E00001254,Barnet,9,variant
E00182549,Bromley,109,successful
E00012179,Hillingdon,130,successful
E00014785,Kingston upon Thames,57,variant
E00011814,Havering,42,variant
E00017092,Merton,500,successful
E00005507,Croydon,248,successful
E00009467,Hammersmith and Fulham,474,successful
E00022208,Waltham Forest,133,successful
E00000434,Barking and Dagenham,75,variant
E00021116,Sutton,100,variant
E00012336,Hillingdon,253,successful
E00003723,Bromley,35,variant
E00000156,Barking and Dagenham,54,variant
E00003655,Bromley,500,successful
E00004033,Bromley,460,successful
E00012394,Hillingdon,102,variant
E00011679,Havering,83,variant
E00017990,Newham,107,successful
E00185680,Waltham Forest,0,un
E00019624,Richmond upon Thames,49,variant
E00007745,Enfield,26,variant
E00005395,Croydon,100,variant
E00014596,Kensington and Chelsea,155,successful
E00003932,Bromley,91,variant
E00007113,Enfield,85,variant
E00007720,Enfield,68,variant
E00001053,Barnet,139,successful
E00023436,Westminster,89,variant
E00021008,Sutton,500,successful
E00012504,Hillingdon,42,variant
E00011959,Hillingdon,186,successful
E00190370,Kensington and Chelsea,160,successful
E00184502,Hillingdon,369,successful
E00000558,Barking and Dagenham,81,variant
E00017464,Merton,96,variant
E00013298,Hounslow,169,successful
E00167121,Tower Hamlets,191,successful
E00012016,Hillingdon,276,successful
E00003147,Bromley,110,successful
E00020221,Southwark,292,successful
E00010807,Harrow,104,variant
E00004937,Croydon,75,variant
E00022306,Waltham Forest,0,un
E00007001,Enfield,10,variant
E00018321,Newham,91,variant
E00184410,Hillingdon,445,successful
E00013908,Islington,87,variant
E00020708,Sutton,91,variant
E00019217,Richmond upon Thames,64,variant
E00011706,Havering,18,variant
E00001596,Bexley,155,successful
E00022654,Wandsworth,93,variant
E00178780,Barnet,241,successful
E00020963,Sutton,90,variant
E00004499,Camden,145,successful
E00178879,Enfield,195,successful
E00009876,Enfield,66,variant
E00012237,Hillingdon,395,successful
E00018183,Newham,92,variant
E00006462,Ealing,194,successful
E00014901,Kingston upon Thames,138,successful
E00011357,Havering,60,variant
E00006106,Ealing,95,variant
E00012196,Hillingdon,220,successful
E00008144,Greenwich,86,variant
E00007192,Enfield,284,successful
E00003645,Bromley,45,variant
E00003648,Bromley,487,successful
E00012234,Hillingdon,97,variant
E00019181,Richmond upon Thames,363,successful
E00011091,Harrow,144,successful
E00010809,Harrow,249,successful
E00003781,Bromley,188,successful
E00178949,Haringey,88,variant
E00021088,Sutton,171,successful
E00001209,Barnet,444,successful
E00005517,Croydon,177,successful
E00004324,Camden,109,successful
E00020771,Sutton,109,successful
E00005295,Croydon,408,successful
E00001368,Barnet,80,variant
E00003188,Bromley,122,successful
E00007879,Greenwich,64,variant
E00012162,Hillingdon,93,variant
E00012008,Hillingdon,198,successful
E00010848,Harrow,98,variant
E00019578,Richmond upon Thames,85,variant
E00167260,Tower Hamlets,500,successful
E00010543,Haringey,113,successful
E00003726,Bromley,168,successful
E00174867,Kingston upon Thames,225,successful
E00190353,Camden,500,successful
E00017814,Newham,109,successful
E00018706,Redbridge,99,variant
E00004492,Camden,6,variant
E00016171,Lewisham,174,successful
E00182188,Greenwich,183,successful
E00011549,Havering,88,variant
E00009864,Haringey,254,successful
E00006537,Ealing,302,successful
E00011831,Havering,160,successful
E00003614,Bromley,71,variant
E00022074,Waltham Forest,28,variant
E00017828,Newham,111,successful
E00001215,Barnet,9,variant
E00001057,Barnet,16,variant
E00012387,Hillingdon,114,successful
E00011496,Havering,124,successful
E00010891,Harrow,114,successful
E00003076,Brent,308,successful
E00176246,Hackney,99,variant
E00019238,Richmond upon Thames,237,successful
E00179192,Ealing,153,successful
E00001058,Barnet,90,variant
E00000892,Barnet,500,successful
E00011709,Havering,159,successful
E00008030,Greenwich,148,successful
E00016361,Lewisham,289,successful
E00015972,Lambeth,118,successful
E00013107,Hounslow,98,variant
E00018646,Redbridge,47,variant
E00005597,Croydon,96,variant
E00007499,Enfield,75,variant
E00016937,Lewisham,97,variant
E00003653,Bromley,19,variant
E00019500,Richmond upon Thames,93,variant
E00179249,Hounslow,500,successful
E00021296,Tower Hamlets,33,variant
E00182614,Lewisham,99,variant
E00178873,Barnet,160,successful
E00019801,Southwark,178,successful
E00183986,Tower Hamlets,110,successful
E00013303,Hounslow,219,successful
E00023190,Wandsworth,500,successful
E00003759,Bromley,153,successful
E00012128,Hillingdon,172,successful
E00182295,Greenwich,0,un
E00011072,Harrow,500,successful
E00022218,Waltham Forest,108,successful
E00005330,Croydon,105,variant
E00012571,Hillingdon,22,variant
E00020595,Sutton,97,variant
E00015652,Lambeth,114,successful
E00011830,Havering,58,variant
E00016735,Lewisham,64,variant
E00185696,Waltham Forest,143,successful
E00003485,Bromley,94,variant
E00017028,Merton,281,successful
E00021847,Waltham Forest,31,variant
E00002891,Brent,95,variant
E00015167,Lambeth,96,variant
E00174914,Barnet,117,successful
E00008284,Greenwich,87,variant
E00000817,Barnet,160,successful
E00185769,Redbridge,3,variant
E00007463,Enfield,74,variant
E00011911,Havering,13,variant
E00014876,Kingston upon Thames,264,successful
E00006921,Enfield,64,variant
E00000228,Barking and Dagenham,102,variant
E00011596,Havering,93,variant
E00003700,Bromley,98,variant
E00174877,Kingston upon Thames,500,successful
E00000710,Barnet,91,variant
E00001580,Barnet,80,variant
E00167213,Tower Hamlets,500,successful
E00003799,Bromley,101,variant
E00011509,Havering,78,variant
E00003520,Bromley,136,successful
E00007618,Enfield,47,variant
E00005341,Croydon,201,successful
E00011917,Havering,61,variant
E00017075,Merton,308,successful
E00011269,Havering,85,variant
E00007177,Enfield,161,successful
E00016731,Lewisham,52,variant
E00012720,Hounslow,351,successful
E00183955,Hackney,60,variant
E00001036,Barnet,95,variant
E00166763,Bexley,64,variant
E00020740,Sutton,86,variant
E00009427,Hammersmith and Fulham,89,variant
E00012190,Hillingdon,500,successful
E00003599,Bromley,29,variant
E00001885,Bexley,45,variant
E00000864,Barnet,89,variant
E00012420,Hillingdon,189,successful
E00004792,Camden,87,variant
E00008360,Greenwich,167,successful
E00183921,Hackney,500,successful
E00016924,Lewisham,105,variant
E00023032,Wandsworth,371,successful
E00006768,Ealing,176,successful
E00011350,Havering,106,successful
E00014680,Kingston upon Thames,186,successful
E00021884,Waltham Forest,18,variant
E00001888,Bexley,64,variant
E00178897,Barnet,500,successful
E00004403,Camden,6,variant
E00005212,Croydon,499,successful
E00003595,Bromley,172,successful
E00009073,Hackney,96,variant
E00023442,Westminster,500,successful
