pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
47,-54,5610,E00003308,Bromley,103169,2,17,1946236,0,0,0
24,-18,5045.000000000001,E00016942,Lewisham,74285.85999999999,10,146,12245385,0,0,0
4,65,5590.000000000001,E00007526,Enfield,46698,10,119,5547194,0,0,0
45,-26,5180,E00003353,Bromley,113644,3,56,3828272,0,0,0
33,-5,4079.999999999998,E00182101,Greenwich,109734,14,109,8542145,0,0,0
5,-24,5615,E00003637,Bromley,80358,20,153,14682272,0,0,0
-86,36,6500,E00012624,Hillingdon,195076,4,19,3960146,0,0,0
-16,22,8950.000000000002,E00004453,Camden,257044.36999999997,49,273,91502531,0,0,0
-72,33,6140,E00010965,Harrow,147994,14,99,14357180,0,0,0
-16,-21,7000,E00022569,Wandsworth,153677.82,22,218,41520297,0,0,0
-24,-30,6450.000000000002,E00017000,Merton,139584,22,163,19258400,0,0,0
-12,37,9060,E00010157,Haringey,101672,9,162,12466733,0,0,0
25,-41,6000.000000000001,E00003752,Bromley,114569.20999999999,9,56,6198963,0,1,0
58,-4,3970.000000000001,E00002149,Bexley,49177.39,11,115,6237188,0,0,0
-62,18,5670,E00006325,Ealing,171355,11,77,8802728,0,0,0
67,14,3940,E00011717,Havering,46410,3,51,2187632,0,0,0
33,28,4540,E00018058,Newham,128206,13,116,8510917,0,0,0
-43,-28,7180,E00014876,Kingston upon Thames,184356,11,70,12926402,0,0,0
-25,15,9090,E00023806,Westminster,215023,35,354,78593460,0,0,0
-1,-56,5180,E00005441,Croydon,204127,16,78,11987893,0,0,0
56,49,5160,E00011496,Havering,38951,1,24,939541,0,0,0
30,-50,6895,E00003188,Bromley,275266,0,6,1034919,0,0,0
-60,-27,8850,E00019557,Richmond upon Thames,167007,8,74,11114870,0,0,0
-9,-2,9654.999999999998,E00183149,Wandsworth,417801,35,331,57710439,0,0,0
-19,50,6380,E00001323,Barnet,119744,12,119,12142535,0,0,0
53,29,4250,E00000495,Barking and Dagenham,50809.06,12,156,8234806,0,0,0
20,-19,5120,E00016260,Lewisham,98663,9,155,12293692,0,0,1
-42,11,6370,E00166867,Ealing,64609,12,102,13579899,0,0,0
47,-22,5500,E00002260,Bexley,86057,6,80,5156667,0,0,0
-82,42,6850.000000000001,E00012312,Hillingdon,202027,7,47,13544184,0,0,1
-67,41,5915,E00010809,Harrow,91136,12,73,9243138,0,0,0
-96,-5,3780,E00012202,Hillingdon,97935,0,4,503030,1,1,0
-66,30,4765,E00011079,Harrow,89378.86999999997,19,133,12454925,0,0,0
-42,8,6860,E00005993,Ealing,123764,17,183,23361361,0,0,0
