tick,pubid,age,xcor,ycor,borough,OAID,spend,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor
39,ChIJ--uMBmgDdkgRLKLZeFSj564,40,1.6146,2.4057,Southwark,E00020027,161910,34,4.7,402,1694742.7578,7384.999999999998,1,2,2
39,ChIJ-1LEVxIXdkgR9WIZue6vaM0,40,-26.6573,42.3634,Barnet,E00000988,129793,14,4.5,509,1223528.3572,7375,1,-27,42
39,ChIJ-57LM94FdkgRkQbpuqN65_M,40,-17.5184,-21.3361,Wandsworth,E00023257,278310.43000000005,34,4.3,1053,1522942.3408,6670,1,-18,-21
39,ChIJ-6pThJobdkgRnZ2393tj-KE,40,-5.7232,29.9581,Islington,E00014016,97025.2,28,4.400000000000001,2094,939139.5041,7285,1,-6,30
39,ChIJ-8RZ5SYDdkgReRoovWRZkLs,40,8.62,5.1972,Southwark,E00020300,131005.21276595745,35,4.400000000000001,521,1025379.2611,7850,1,9,5
39,ChIJ-9-PjLUadkgRGBhW2fraf9Y,40,-18.7924,11.1475,Westminster,E00023494,388580.3000000001,36,4.5,1164,2273624.4759,10150,1,-19,11
39,ChIJ-9VzIsoLdkgRybr4LiVSgYg,40,-50.7999,-37.5804,Kingston upon Thames,E00015067,338165,19,4.1,1702,1081967.7217,6400,1,-51,-38
0,ChIJ-QC2MLcCdkgRnX8xBSb4JO0,1,16.3714,7.2492,Tower Hamlets,E00167158,342269,30,3.8,1363,972716.6104,8090,0,16,7
0,ChIJ-TYY0bcYdkgR1zARL0lSwPU,1,-5.6391,66.6293,Enfield,E00007326,76102,10,4.2,1163,638292.8699,6170,0,-6,67
39,ChIJ-VlPJGZvdkgRlTOXQLXy2YE,40,-92.3998,6.1932,Hillingdon,E00184444,153436.82000000004,12,4.6,297,1016378.1266,5260,1,-92,6
0,ChIJ-XkZ1Kev2EcRn9zezYRSqMI,1,55.2388,-0.2846,Bexley,E00001654,57657,15,4.5,178,602417.0766,4295,0,55,-0
39,ChIJ-YNjRZcedkgR9TKtDmJEwzg,40,4.0586,46.8653,Enfield,E00007747,32601.63,10,4.5,88,595012.836,3845,1,4,47
39,ChIJ-Zm3-zQDdkgRggM_BPI-CtQ,40,4.6799,9.4459,Tower Hamlets,E00021752,160272.7,25,4.5,896,2797759.537,8570,1,5,9
39,ChIJ-Zu-9c8CdkgR9MCdIDUEv6Q,40,12.6248,6.7577,Southwark,E00020440,227088.99999999997,36,4.5,902,1166424.9213,8984.999999999998,1,13,7
39,ChIJ-_5lT-oLdkgRxpEwptxhqbM,40,-50.2096,-30.6912,Kingston upon Thames,E00184371,240348,24,4,3903,644422.7629,5045.000000000001,1,-50,-31
0,ChIJ-bCLyGQXdkgRxYwkt96VgQY,1,-27.5872,53.5658,Barnet,E00001370,208920,5,4.3,3017,1527753.9671,7395.000000000001,0,-28,54
39,ChIJ-bvJK6cadkgRoi8-VY3Dijw,40,-23.7824,15.485,Westminster,E00023805,246888.81000000008,39,4.400000000000001,1296,3078611.3653,10550,1,-24,15
39,ChIJ-cCTE8kPdkgRri6zR_jHTEY,40,-33.5155,2.563,Hammersmith and Fulham,E00009472,230509.54000000007,63,4.3,583,1359827.6087,9960.000000000002,1,-34,3
39,ChIJ-cK4uL9sdkgRBVWiAlvQKP4,40,-75.3915,32.8722,Hillingdon,E00012121,150675,19,4.2,1516,962595.5436,6000.000000000001,1,-75,33
39,ChIJ-dDlrC9zdkgRrwW57PIP1NA,40,-70.8825,-11.0429,Hounslow,E00013225,135995,18,4,1181,1104171.4597,5005,1,-71,-11
39,ChIJ-wc5tTAZdkgRih-65IGoEbY,40,-5.4784,52.381,Enfield,E00007774,71598,9,4.6,162,757068.3141,5745,1,-5,52
39,ChIJ-x-j68YfdkgRRe8AnIJ1Dk0,40,-2.139,63.2873,Enfield,E00007211,71087,9,4.3,330,1043794.9227,5650.000000000001,1,-2,63
39,ChIJ-xttPGEEdkgR2m7_xfrdRYM,40,-3.4033,-9.1185,Lambeth,E00015485,126005.80000000002,39,4.9,301,1139229.8565,5830.000000000001,1,-3,-9
39,ChIJ-yvXmbQadkgRPnEMI14imuA,40,-19.8998,10.2216,Westminster,E00175215,294592.87,40,4.5,1887,1997485.138,10015,1,-20,10
0,ChIJ-zmYeWqr2EcRvGbBr116bGk,1,26.7223,-27.7433,Bromley,E00004033,96619.79,21,4.3,292,1321753.9454,5990,0,27,-28
39,ChIJ0-VfEUqn2EcR1cYn_QWHFLY,40,25.1836,41.4176,Redbridge,E00175177,57216.18000000001,10,4.2,1010,746709.3593,5860,1,25,41
0,ChIJ00YfsnsNdkgRmHxJqXmpkLU,1,-59.8691,5.4242,Ealing,E00006226,136425.66,20,4.2,157,676916.0766,5990.000000000001,0,-60,5
39,ChIJ01J5pjMNdkgRYX6s9nohkMQ,40,-68.2389,-2.6094,Hounslow,E00179269,133120.37,15,4.5,465,1053530.9189,5180,1,-68,-3
39,ChIJ01NehtUbdkgRdjnC7wr40sw,40,-13.1066,41.9795,Haringey,E00009844,100414,10,4.3,902,1097060.9523,7840,1,-13,42
39,ChIJ02cdBcsPdkgRwa3puG6p4Mk,40,-34.7537,2.3678,Hammersmith and Fulham,E00009648,520208,61,4.6,630,1260586.7522,8755.000000000002,1,-35,2
0,ChIJ02jiYkW72EcRoqI9HwKa1Js,1,67.696,39.5118,Havering,E00011656,73631,12,4.5,507,537616.224,5470,0,68,40
39,ChIJ044eqskDdkgRykfbESyB5oA,40,11.364,-20.6497,Lewisham,E00016767,72426.31000000001,24,4.2,80,736576.3218,5750.000000000001,1,11,-21
39,ChIJ04AeTsMbdkgRBwyQ9iClxZs,40,-21.161,13.139,Westminster,E00023565,237542.3299999999,44,4.400000000000001,454,2011185.8727,8540,1,-21,13
39,ChIJ05WkE84CdkgRH6RzB264YGE,40,12.6052,8.1918,Tower Hamlets,E00021399,215341.07272727272,35,4.5,3313,1398745.0407,8865,1,13,8
39,ChIJ07An708BdkgRyXc-H4dLdTo,40,1.7977,-26.2925,Lambeth,E00015469,117156.5,21,4.2,854,685084.0848,6265,1,2,-26
39,ChIJ07LZRtUPdkgRdTO-Pg3PqzY,40,-33.4218,4.5548,Hammersmith and Fulham,E00009718,370297,58,4.5,615,1286876.023,7540,1,-33,5
39,ChIJ08tP-rkIdkgRIUC5sqksWyQ,40,-27.5111,-27.0146,Merton,E00017226,142047,21,4,887,1037667.9086,8030,1,-28,-27
39,ChIJ0RVpK8MCdkgR-TJLWHRlRQo,40,12.6762,3.6027,Southwark,E00020447,186212.59770114944,32,4.5,1011,1393145.6671,7020,1,13,4
39,ChIJ0Rl1RPqu2EcRT5vN9DBgM50,40,52.9597,-7.866,Bexley,E00001760,60441,10,4.6,283,740020.1213,4885,1,53,-8
39,ChIJ0TP6lvYOdkgRr2wwpvy1ggs,40,-39.0318,-8.4108,Richmond upon Thames,E00019406,159461,13,4.400000000000001,448,1662523.1786,9600.000000000002,1,-39,-8
39,ChIJ0TowjRgPdkgRqgyfGtPZ6_E,40,-25.4884,-21.2033,Merton,E00017575,111009,21,4.400000000000001,605,906979.4707,6700.000000000001,1,-25,-21
